learner,csl_variant,level,n_cells,n_rows,prevalence_mean,negative_retention,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,ner_mean,ner_std,ner_min,ner_max,alert_rate_mean
logistic_regression,unweighted,prev_1pct,4,400,0.01,0.1279614588076318,0.67695700744001,0.012425707459331097,0.6526889994533267,0.6981165199484871,0.10062081057232738,0.013145963720992804,0.0818881013421806,0.1229064039408867,0.8498376623376623,0.025712830013731203,0.16020829355998134,0.024019267395003045,0.130644558147628,0.1978410679718488,0.08622404626623371
logistic_regression,unweighted,prev_50pct,4,400,0.5,0.0012925399879558,0.964717363608832,0.003044348089872455,0.9556472305968722,0.970750075188648,0.9162427634328618,0.013547070564393096,0.8858075040783034,0.9477682811016144,0.8498376623376623,0.025712830013731203,0.15026345497957494,0.025695136657466075,0.1186061578229073,0.1900347292514787,0.4640361201298701
logistic_regression,weighted,natural,4,4,0.0012908714849422,1.0,0.15778292070363603,0.007276252986284437,0.1487063069716072,0.165715911164837,0.01626791095382385,0.0016617303103947806,0.0150897675955501,0.0187296270282925,0.8731737012987013,0.02025835921519475,0.19568411263708319,0.012356033992632166,0.1854378897472769,0.2130063622487797,0.06989880489609104
logistic_regression,weighted,prev_0.2581pct,4,400,0.0025784145680423,0.5,0.2610408643698291,0.009466169500109565,0.2410100394714517,0.2820422424728608,0.03201039877340277,0.002785469325061515,0.0295004306632213,0.037157454714352,0.8731737012987013,0.017566225241696435,0.16125584037352175,0.014133917590157436,0.1475560076274214,0.1847803787423212,0.07093565892933004
logistic_regression,weighted,prev_1.2765pct,4,400,0.012760492190413,0.0999997901720798,0.5739208790127459,0.015539547359044578,0.5364128491261707,0.6191192872091507,0.1418939811162291,0.010966266024766715,0.1298578199052132,0.1652892561983471,0.8731737012987013,0.017566225241696435,0.1337067296947328,0.01687693191956779,0.1177133639989241,0.1617432342777859,0.07907129096408
logistic_regression,weighted,prev_10pct,4,400,0.1,0.011632859891602797,0.8568153831938795,0.01033171744680428,0.8295071730992124,0.8783528627298798,0.5863552096584214,0.02281418860494991,0.5455450472872075,0.6459627329192547,0.8731737012987013,0.017566225241696435,0.12762660316210156,0.017484810149587044,0.1111963668035285,0.1565680335107403,0.14923701298701295
logistic_regression,weighted,prev_11.32pct,4,400,0.11445559271646219,0.0100003986730482,0.8691961563686741,0.009977752328924602,0.8441543458682979,0.8932992855877225,0.6224287430146238,0.022211318303409246,0.5823591923485654,0.680628272251309,0.8731737012987013,0.017566225241696435,0.12751428410024837,0.01749648205290139,0.1110715241334943,0.156465221900124,0.1608637588257153
logistic_regression,weighted,prev_1pct,4,400,0.01,0.1279614588076318,0.5267790035314249,0.01511874056622097,0.4901715559544453,0.5691545400601803,0.11443213379209415,0.009079374220916257,0.1047200458627938,0.1327377153797064,0.8731737012987013,0.017566225241696435,0.13563195316313387,0.016688142293620367,0.1197779889957913,0.1633777290669723,0.07686118100649346
logistic_regression,weighted,prev_50pct,4,400,0.5,0.0012925399879558,0.9704513596424147,0.0036101840662498136,0.9588908612916424,0.9787365395312309,0.927192391875249,0.009030283863497744,0.9058823529411764,0.9611829944547134,0.8731737012987013,0.017566225241696435,0.12691517566683325,0.017557527190825716,0.1104598999601338,0.155936476474097,0.4709689529220779
random_forest,unweighted,natural,4,16,0.0012908714849422,1.0,0.8165865661970209,0.01261077215000791,0.7946899724099898,0.8283846305647893,0.033303012360533,0.0080375398003182,0.0253272998857745,0.0497435664684791,0.9211647727272727,0.014824889474213246,0.11523407813689353,0.008547348010990038,0.1035519428873147,0.1323545766291466,0.037542409109864436
random_forest,unweighted,prev_0.2581pct,4,1600,0.0025784145680423,0.5,0.8370020579852419,0.010945157680342595,0.8146934308258102,0.849851493039276,0.06435838962537611,0.0145154919835634,0.048855614973262,0.0961066292528937,0.9211647727272728,0.0143586252824732,0.09703510971815604,0.011020579618655699,0.0832225205350325,0.1215310318666068,0.03868249320340798
random_forest,unweighted,prev_1.2765pct,4,1600,0.012760492190413,0.0999997901720798,0.8846172037848485,0.008079008345298403,0.8676505361881527,0.8950164370734348,0.2539521506182952,0.044474264196306776,0.201553123896929,0.3538908621246367,0.9211647727272728,0.0143586252824732,0.08247454125638334,0.01366193237121493,0.0668170385478192,0.1127028716284783,0.04768475913535232
random_forest,unweighted,prev_10pct,4,1600,0.1,0.011632859891602797,0.9488534997297493,0.0036097069863247917,0.9401943714668778,0.9553309051217906,0.7408108913801271,0.042649735307318304,0.6615031554790591,0.8515928515928516,0.9211647727272728,0.0143586252824732,0.07925815148805665,0.01427704553390869,0.0629605540516385,0.1106907015349868,0.1248381696428571
random_forest,unweighted,prev_11.32pct,4,1600,0.11445559271646219,0.0100003986730482,0.9527723854531364,0.003291481830774693,0.944624923273392,0.9588058776553418,0.7685337330412426,0.03955275207494326,0.6908328340323547,0.8677751385589866,0.9211647727272728,0.0143586252824732,0.07919883482763312,0.014288405085224899,0.0628923626772501,0.1106487376122862,0.13763151477146038
random_forest,unweighted,prev_1pct,4,1600,0.01,0.1279614588076318,0.8771334206518894,0.008531979928692167,0.8595075845338436,0.8881263808674886,0.21047652813437132,0.039231758442355845,0.1649812193007801,0.3001095290251916,0.9211647727272728,0.0143586252824732,0.08349304696856215,0.013469585676265794,0.0680686125423632,0.113331281370919,0.04524924918831164
random_forest,unweighted,prev_50pct,4,1600,0.5,0.0012925399879558,0.9887704760442548,0.000784564499857504,0.986235614482826,0.9911111996976733,0.9620251847133051,0.009298195812274906,0.9337694194603434,0.9856115107913668,0.9211647727272728,0.0143586252824732,0.07888247274851143,0.014349486146380605,0.0625419639227005,0.1104326234103784,0.4788593242694805
