learner,csl_variant,config,arm,split_seed,model_seed,baseline_model_seed,exact_seed_match,matched_by_determinism,same_test_observations,baseline_pr_auc,csl_pr_auc,delta_pr_auc,baseline_ner,csl_ner,delta_ner,R_train_baseline,R_train_csl,R_eval
random_forest,rus,G,core_class_constant,123,42,42,True,False,True,0.8283846305647891,0.7602016265327661,-0.06818300403202293,0.11067290697703101,0.12051366349104121,0.009840756514010202,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,123,456,456,True,False,True,0.8264158770557622,0.7655662595813347,-0.06084961747442752,0.1110388482989203,0.12133364763543313,0.010294799336512825,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,123,789,789,True,False,True,0.8280678255017108,0.7557967084585492,-0.07227111704316158,0.1096049365128309,0.11922475524752849,0.009619818734697583,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,42,123,123,True,False,True,0.7993036154324304,0.7375945078063418,-0.06170910762608861,0.12504391969288337,0.14090745126065377,0.0158635315677704,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,42,42,42,True,False,True,0.7967497221433496,0.7290642696601829,-0.06768545248316671,0.13235457662914663,0.13991056871872698,0.0075559920895803545,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,42,456,456,True,False,True,0.7949283079988327,0.745719966001256,-0.04920834199757673,0.12677755993371437,0.13803835058114763,0.011260790647433266,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,42,789,789,True,False,True,0.7946899724099898,0.7482550767116243,-0.046434895698365564,0.12493396966799634,0.13776014568958342,0.012826176021587074,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,456,123,123,True,False,True,0.8166914233191555,0.76272062907168,-0.05397079424747542,0.1195501809206597,0.12872193782869237,0.00917175690803268,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,456,42,42,True,False,True,0.8167331044455801,0.7449676532873647,-0.07176545115821542,0.11408993907181778,0.12691411384910634,0.01282417477728856,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,456,456,456,True,False,True,0.818425560312881,0.7516456236802173,-0.0667799366326638,0.11898670693803937,0.12509834173497084,0.00611163479693147,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,456,789,789,True,False,True,0.820746555323804,0.7548185011523851,-0.06592805417141889,0.11648996185772197,0.1218120249856905,0.00532206312796854,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,789,123,123,True,False,True,0.8262754227918255,0.7496784224629952,-0.07659700032883032,0.10355194288731476,0.11580300789570237,0.012251065008387615,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,789,42,42,True,False,True,0.824819523851171,0.760057386483641,-0.06476213736753,0.1060345308279852,0.11459738894392708,0.008562858115941888,1.0,773.7010836478753,773.7010836478753
