R,learner,variant,ner,recall,n_flagged,threshold
100.0,xgboost,unweighted,0.1863961038961039,0.8319805194805194,3289,0.011846068315207958
100.0,xgboost,weighted,0.1995211038961039,0.8189935064935064,3290,0.8028237819671631
100.0,xgboost,instance_weighted,0.19830357142857144,0.827922077922078,4251,0.6760181784629822
100.0,xgboost,rus,0.22411525974025975,0.814935064935065,5815,0.9561155438423157
500.0,logistic_regression,unweighted,0.27530519480519483,0.7946428571428571,44067,0.002673338633030653
500.0,logistic_regression,weighted,0.2397970779220779,0.8214285714285714,38727,0.6261211633682251
500.0,logistic_regression,instance_weighted,0.25357305194805196,0.8125,41702,0.5527586340904236
500.0,logistic_regression,rus,0.24406006493506494,0.8189935064935064,39850,0.6298765540122986
500.0,decision_tree,unweighted,0.16516233766233765,0.8701298701298701,22812,0.003926701378077269
500.0,decision_tree,weighted,0.16462987012987013,0.8660714285714286,19979,0.726906955242157
500.0,decision_tree,instance_weighted,0.16053733766233766,0.885551948051948,29482,0.5283392071723938
500.0,decision_tree,rus,0.16909253246753247,0.8823051948051948,32748,0.6122449040412903
500.0,random_forest,unweighted,0.14437824675324676,0.8896103896103896,22033,0.0025640910025686026
500.0,random_forest,weighted,0.16577597402597402,0.8798701298701299,29202,0.2172229140996933
500.0,random_forest,instance_weighted,0.159862012987013,0.887987012987013,30569,0.14920426905155182
500.0,random_forest,rus,0.15669642857142857,0.885551948051948,27116,0.6049984693527222
500.0,xgboost,unweighted,0.14593668831168832,0.8701298701298701,10969,0.003233632305637002
500.0,xgboost,weighted,0.15154383116883116,0.8693181818181818,13922,0.4900791347026825
500.0,xgboost,instance_weighted,0.15887175324675323,0.8555194805194806,9919,0.4699626564979553
500.0,xgboost,rus,0.1467564935064935,0.8847402597402597,20492,0.7630190849304199
773.7010836478753,logistic_regression,unweighted,0.24988682310120794,0.810064935064935,58144,0.0020156772807240486
773.7010836478753,logistic_regression,weighted,0.21300636224877972,0.8441558441558441,55527,0.5718259811401367
773.7010836478753,logistic_regression,instance_weighted,0.22799410220237804,0.8368506493506493,62841,0.47364625334739685
773.7010836478753,logistic_regression,rus,0.21262186212277145,0.8482142857142857,59034,0.5665059685707092
773.7010836478753,decision_tree,unweighted,0.15267752185787967,0.8701298701298701,22812,0.003926701378077269
773.7010836478753,decision_tree,weighted,0.14077358862094477,0.8896103896103896,30058,0.47732776403427124
773.7010836478753,decision_tree,instance_weighted,0.14268871145892675,0.8936688311688312,35757,0.3630135953426361
