experiment_id,cell_id,learner,csl_variant,split_seed,model_seed,feature_set,R_train,R_eval,R_level,R_ratio_to_class,log2_distance_from_class_ratio,config,threshold_rule,threshold_selected_on,threshold_r_dependent,threshold,threshold_gap_b_minus_c,thresholds_identical,val_class_ratio,val_n_positive,val_n_negative,test_tp,test_fp,test_fn,test_tn,test_n_flagged,test_alert_rate,test_precision,test_recall,test_total_risk,test_ner,test_ner_closed_form,test_ner_abs_error,val_tp,val_fp,val_fn,val_tn,val_n_flagged,val_alert_rate,val_precision,val_recall,val_total_risk,val_ner,val_ner_closed_form,val_ner_abs_error
E6_threshold_divergence,decision_tree__unweighted__split456__model789,decision_tree,unweighted,456,789,no_origin_balance,1.0,12379.217338366005,R_x16,16.00066700330156,4.000060141393644,B,youden,val,False,0.014052697457373142,0.013779631000943482,False,773.6688311688312,1232,953160,1000,4518,232,948644,5518,0.005781679264538545,0.1812250815512867,0.8116883116883117,2876496.422500913,0.18860792737850246,0.18860792737850252,5.551115123125783e-17,998,4486,234,948674,5484,0.005746066605755287,0.18198395331874545,0.810064935064935,2901222.857177645,0.19022920580574404,0.1902292058057441,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split456__model789,decision_tree,unweighted,456,789,no_origin_balance,1.0,12379.217338366005,R_x16,16.00066700330156,4.000060141393644,C,ner_optimal,val,True,0.0002730664564296603,0.013779631000943482,False,773.6688311688312,1232,953160,1229,860279,3,92883,861508,0.9026754149753665,0.0014265682965219127,0.997564935064935,897416.652015098,0.058842379711483456,0.058842379711483456,0.0,1230,860412,2,92748,861642,0.9028177101233036,0.0014275070156747234,0.9983766233766234,885170.434676732,0.058039412027481356,0.058039412027481356,0.0
E6_threshold_divergence,decision_tree__unweighted__split456__model789,decision_tree,unweighted,456,789,no_origin_balance,1.0,49516.86935346402,R_x64,64.00266801320625,6.000060141393644,B,youden,val,False,0.014052697457373142,0.014049077744402894,False,773.6688311688312,1232,953160,1000,4518,232,948644,5518,0.005781679264538545,0.1812250815512867,0.8116883116883117,11492431.690003652,0.1883857480783918,0.18838574807839187,5.551115123125783e-17,998,4486,234,948674,5484,0.005746066605755287,0.18198395331874545,0.810064935064935,11591433.42871058,0.19000860015273466,0.1900086001527347,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split456__model789,decision_tree,unweighted,456,789,no_origin_balance,1.0,49516.86935346402,R_x64,64.00266801320625,6.000060141393644,C,ner_optimal,val,True,3.6197129702486563e-06,0.014049077744402894,False,773.6688311688312,1232,953160,1232,930585,0,22577,931817,0.976344151367255,0.001322148018334072,1.0,930585.0,0.01525429570558314,0.01525429570558314,0.0,1232,930787,0,22373,932019,0.9765578504430046,0.0013218614641976182,1.0,930787.0,0.015257606921358729,0.015257606921358729,0.0
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,12.089079431998051,R_x0.015625,0.01562565137041168,-5.999939858606356,B,youden,val,False,0.012950669974088669,-0.12704933062195778,False,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,7392.042872199561,0.49631858510103366,0.49631858510103366,0.0,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,7392.864713335565,0.496373765385679,0.49637376538567907,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,12.089079431998051,R_x0.015625,0.01562565137041168,-5.999939858606356,C,ner_optimal,val,True,0.14000000059604645,-0.12704933062195778,False,773.6688311688312,1232,953160,894,160,338,953002,1054,0.0011043657022152278,0.8481973434535104,0.7256493506493507,4246.108848015341,0.28509341356199047,0.2850934135619906,1.1102230246251565e-16,895,151,337,953009,1046,0.00109598571656091,0.8556405353728489,0.726461038961039,4225.019768583343,0.2836774447634143,0.2836774447634143,0.0
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,48.356317727992206,R_x0.0625,0.06250260548164673,-3.999939858606356,B,youden,val,False,0.012950669974088669,-0.025510869920253754,False,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,15552.171488798247,0.261052048872661,0.26105204887266104,5.551115123125783e-17,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,15480.458853342261,0.25984831147628984,0.2598483114762899,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,48.356317727992206,R_x0.0625,0.06250260548164673,-3.999939858606356,C,ner_optimal,val,True,0.03846153989434242,-0.025510869920253754,False,773.6688311688312,1232,953160,950,870,282,952292,1820,0.0019069692391192735,0.521978021978022,0.7711038961038961,14506.481599293802,0.24349954899589588,0.24349954899589588,0.0,950,915,282,952245,1865,0.001954123672453248,0.5093833780160858,0.7711038961038961,14551.481599293802,0.2442548996045058,0.2442548996045058,0.0
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,193.42527091196882,R_x0.25,0.2500104219265869,-1.999939858606356,B,youden,val,False,0.012950669974088669,0.0,True,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,48192.68595519299,0.2022354148155678,0.20223541481556787,5.551115123125783e-17,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,47830.835413369045,0.20071694799894255,0.2007169479989426,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,193.42527091196882,R_x0.25,0.2500104219265869,-1.999939858606356,C,ner_optimal,val,True,0.012950669974088669,0.0,True,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,48192.68595519299,0.2022354148155678,0.20223541481556787,5.551115123125783e-17,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,47830.835413369045,0.20071694799894255,0.2007169479989426,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,773.6688311688312,val_class_ratio,1.0,0.0,B,youden,val,False,0.012950669974088669,0.0,True,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,178747.48701298703,0.18753146062884193,0.187531460628842,5.551115123125783e-17,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,177225.14935064936,0.18593431255051548,0.1859343125505155,2.7755575615628914e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,773.6688311688312,val_class_ratio,1.0,0.0,C,ner_optimal,val,True,0.012950669974088669,0.0,True,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,178747.48701298703,0.18753146062884193,0.187531460628842,5.551115123125783e-17,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,177225.14935064936,0.18593431255051548,0.1859343125505155,2.7755575615628914e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,773.7010836478753,R_x1,1.0000416877063476,6.014139364405448e-05,B,youden,val,False,0.012950669974088669,0.0,True,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,178754.74382077195,0.18753125630129452,0.18753125630129458,5.551115123125783e-17,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,177232.34165347618,0.1859341071296057,0.18593410712960576,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,773.7010836478753,R_x1,1.0000416877063476,6.014139364405448e-05,C,ner_optimal,val,True,0.012950669974088669,0.0,True,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,178754.74382077195,0.18753125630129452,0.18753125630129458,5.551115123125783e-17,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,177232.34165347618,0.1859341071296057,0.18593410712960576,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,3094.804334591501,R_x4,4.00016675082539,2.000060141393644,B,youden,val,False,0.012950669974088669,0.0,True,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,701002.9752830878,0.1838552166727262,0.18385521667272625,5.551115123125783e-17,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,694838.3666139047,0.1822383969122715,0.18223839691227156,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,3094.804334591501,R_x4,4.00016675082539,2.000060141393644,C,ner_optimal,val,True,0.012950669974088669,0.0,True,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,701002.9752830878,0.1838552166727262,0.18385521667272625,5.551115123125783e-17,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,694838.3666139047,0.1822383969122715,0.18223839691227156,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,12379.217338366005,R_x16,16.00066700330156,4.000060141393644,B,youden,val,False,0.012950669974088669,0.012677115388214588,False,773.6688311688312,1232,953160,1007,4672,225,948490,5679,0.005950372697229866,0.177319950695545,0.8173701298701299,2789995.9011323513,0.18293620676558411,0.18293620676558417,5.551115123125783e-17,1009,4697,223,948463,5706,0.005978675428964199,0.17683140553803015,0.8189935064935064,2765262.466455619,0.18131446935793796,0.18131446935793802,5.551115123125783e-17
E6_threshold_divergence,decision_tree__unweighted__split789__model123,decision_tree,unweighted,789,123,no_origin_balance,1.0,12379.217338366005,R_x16,16.00066700330156,4.000060141393644,C,ner_optimal,val,True,0.00027355458587408066,0.012677115388214588,False,773.6688311688312,1232,953160,1227,859651,5,93511,860878,0.9020153102387484,0.0014252890653495616,0.9959415584415584,921547.0866918301,0.060424579235710166,0.060424579235710166,0.0,1230,860448,2,92712,861678,0.9028554304730132,0.0014274473759339336,0.9983766233766234,885206.434676732,0.05804177249813326,0.05804177249813326,0.0
