learner,reference,R_train,n_pairs,delta_pr_auc_mean,delta_pr_auc_median,delta_pr_auc_std,delta_pr_auc_min,delta_pr_auc_max,delta_pr_auc_range,delta_pr_auc_n_negative,delta_pr_auc_all_same_sign,delta_ner_mean,delta_ner_median,delta_ner_std,delta_ner_min,delta_ner_max,delta_ner_range,delta_ner_n_negative,delta_ner_all_same_sign
xgboost,default,5000.0,16,-0.012178291953140179,-0.01203971569259954,0.0022281229112099763,-0.015169587157589648,-0.007806207146414446,0.007363380011175202,16,True,0.01109453949196158,0.011141270364977307,0.0038444414032972507,0.0011766661188176986,0.017217614948892318,0.01604094883007462,0,True
decision_tree,unweighted,10.0,16,0.014459449549704281,0.014574521968178489,0.004929252404144328,0.00825351985433076,0.02012905890997918,0.01187553905564842,0,True,-0.041011508909940646,-0.05226443191264782,0.025785608289107448,-0.06161038757580606,0.0016831752132249467,0.063293562789031,12,False
decision_tree,unweighted,50.0,16,0.008984641795545492,0.011840510048460318,0.0061395466679576545,-0.0015961446869737772,0.01342785679616132,0.015024001483135097,4,False,-0.04703102296025852,-0.0529545873290527,0.022033234499873124,-0.07020253485433076,-0.012213730759418728,0.05798880409491203,16,True
decision_tree,unweighted,100.0,16,0.007409010556358765,0.00951012017571673,0.015623625955965963,-0.012962614412933893,0.023479113437037347,0.03644172784997124,8,False,-0.04808600402593274,-0.057170182641154935,0.024415348350020485,-0.06981708258209149,-0.008182371847059555,0.06163471073503193,16,True
decision_tree,unweighted,773.7010836478753,16,-0.015233180346881585,-0.01546266670758284,0.005400229805830663,-0.022117604205852404,-0.007996207066430783,0.014121397139421621,16,True,-0.05158808289601573,-0.0620187745777759,0.023919998608015358,-0.070406915073823,-0.011903933236934922,0.05850298183688808,16,True
decision_tree,unweighted,2000.0,16,-0.07033154030641392,-0.0731173513199449,0.00910600305041996,-0.0791723829951827,-0.05593964337944113,0.02323273961574157,16,True,-0.045306046680106536,-0.054346589352624264,0.02480941630224923,-0.06763768398293254,-0.004896995875481314,0.06274068810745123,16,True
decision_tree,unweighted,5000.0,16,-0.0827592103809826,-0.0832538398039182,0.005205492752577886,-0.08914584586241592,-0.07540435906573806,0.01374148679667786,16,True,-0.043401695651011235,-0.05203794073469471,0.024188014221307296,-0.06536418015026475,-0.0041703928276270175,0.061193787322637735,16,True
logistic_regression,unweighted,10.0,4,-0.03315750161293858,-0.032602316344106375,0.0033564529291013104,-0.03773632125688714,-0.029689052506654434,0.008047268750232706,4,True,-0.010651106373022717,-0.011234537456884935,0.004375352352025724,-0.014453760405762628,-0.005681590172558371,0.008772170233204257,4,True
logistic_regression,unweighted,50.0,4,-0.13621613194086407,-0.1382130985060744,0.007655805795412317,-0.14302518131539127,-0.12541314943591625,0.01761203187947502,4,True,-0.01840794358054665,-0.02084885695312473,0.005273551730701293,-0.02141445186893795,-0.010519608546999182,0.010894843321938769,4,True
logistic_regression,unweighted,100.0,4,-0.20134426338791506,-0.20456113432491999,0.008761793748147277,-0.20743194599967502,-0.18882283890214524,0.018609107097529776,4,True,-0.021094404404139212,-0.022519696737659675,0.005451258154555796,-0.026033607923143326,-0.013304616218094173,0.012728991705049153,4,True
logistic_regression,unweighted,773.7010836478753,4,-0.365801047539911,-0.36461286416315003,0.010075060281338174,-0.3787160117909891,-0.3552624500423546,0.0234535617486345,4,True,-0.03296728376984928,-0.03690385460248086,0.008392934160968804,-0.037671794387901,-0.020389631486534415,0.017282162901366582,4,True
logistic_regression,unweighted,2000.0,4,-0.3850176673766758,-0.38103942691324455,0.011799002384846392,-0.40184133067159306,-0.37615048500862114,0.025690845662971917,4,True,-0.03865702434735648,-0.04169961251444711,0.011376814345021913,-0.047978772356820076,-0.023250100003711638,0.02472867235310844,4,True
logistic_regression,unweighted,5000.0,4,-0.3938524497378896,-0.388841347118961,0.012487559825577352,-0.4121055393198547,-0.38562156539378156,0.026483973926073157,4,True,-0.03801535545131706,-0.03786627370446338,0.010279324238070642,-0.04909995596695388,-0.0272289184293876,0.02187103753756628,4,True
random_forest,unweighted,10.0,16,-0.005648355806444648,-0.005970153757938912,0.0027106998685003073,-0.010826134779833185,-0.001411660679467297,0.009414474100365888,16,True,-0.004707361117007671,-0.004431854941764804,0.003752973128406462,-0.014940963822021883,0.0005201587378138861,0.015461122559835769,14,False
random_forest,unweighted,50.0,16,-0.008900697080010421,-0.009534066027688914,0.002543061626456293,-0.01379534751021716,-0.00506943549538319,0.00872591201483397,16,True,-0.00436629341787577,-0.004744762651061919,0.003099626594273646,-0.01055867592181485,0.000721477246411098,0.011280153168225948,15,False
random_forest,unweighted,100.0,16,-0.014539227174376834,-0.013702156868182769,0.0029333332682097047,-0.020629085525367352,-0.009995925923874549,0.010633159601492803,16,True,-0.0030150102235826284,-0.003969884039308709,0.0033208317390813285,-0.007659065815043248,0.0030807048965765943,0.010739770711619842,11,False
random_forest,unweighted,773.7010836478753,16,-0.04647450885554655,-0.045065680971532185,0.005369879332594218,-0.05435726302413835,-0.03992322379977098,0.014434039224367368,16,True,0.02116213425138106,0.020171712626462945,0.005142040378021512,0.0142108885188688,0.030056163506558695,0.015845274987689895,0,True
random_forest,unweighted,2000.0,16,-0.0667896725674311,-0.06656671814284587,0.006198713621500013,-0.07753237777847788,-0.057080648193393424,0.020451729585084455,16,True,0.0377409639826886,0.03873162581568122,0.005510549653620063,0.027006338472459535,0.046263160686809926,0.01925682221435039,0,True
random_forest,unweighted,5000.0,16,-0.09347092296340359,-0.0948876721566308,0.008309813248532338,-0.10785832443697574,-0.07819577945660705,0.029662544980368688,16,True,0.0653088679220257,0.06562196205443993,0.003796068531004425,0.05642262637261353,0.07025623876305227,0.013833612390438746,0,True
xgboost,unweighted,10.0,16,0.0007888938941761833,0.0007362917191617857,0.0023038141363531995,-0.005052801783609229,0.0043131268567336845,0.009365928640342913,5,False,0.002891574377068172,0.0017215441899297787,0.0038419394082258363,-0.0026201281078801486,0.009919883519064393,0.012540011626944542,4,False
xgboost,unweighted,50.0,16,-0.0054390384846993226,-0.0052735691570818255,0.002450207056377612,-0.010958534169305256,-0.0017504794776831423,0.009208054691622114,16,True,0.003990402341913224,0.003932869067171739,0.0031804459848295856,-0.0016692233457798467,0.011789159634643095,0.013458382980422942,1,False
xgboost,unweighted,100.0,16,-0.008287264367442482,-0.007843391449988135,0.002686612449849767,-0.013330229532347082,-0.0038219093439532115,0.00950832018839387,16,True,0.004133636657176933,0.0038664622963510697,0.004957834598984046,-0.006963622116647028,0.012563502328833714,0.019527124445480742,2,False
xgboost,unweighted,773.7010836478753,16,-0.017907354070092092,-0.017935595249269187,0.002487882588425631,-0.02223445207517205,-0.012989688364681506,0.009244763710490544,16,True,0.011038717436294879,0.010446604963734944,0.003746038497603034,0.005933938047646706,0.017932375693965386,0.01199843764631868,0,True
xgboost,unweighted,2000.0,16,-0.023915301944498785,-0.02409501187109092,0.002275189037687117,-0.027346410699913504,-0.020335995772176152,0.007010414927737352,16,True,0.016407262958280544,0.015432514742570402,0.004433326697552411,0.011213495651087563,0.02666750253371042,0.015454006882622856,0,True
xgboost,unweighted,5000.0,16,-0.03008564602323227,-0.030014329374048354,0.0021455757327896916,-0.03310549153939668,-0.026607304421358724,0.006498187118037957,16,True,0.02213325692825646,0.021291727449634944,0.0036537719292548186,0.016247381771586078,0.028092793526,0.01184541175441392,0,True
