learner,csl_variant,split_seed,model_seed,level,negative_retention,precision_expected,precision_observed,abs_error
decision_tree,unweighted,789,42,prev_11.32pct,0.0100003986730482,0.9556601563858832,0.9564287028984282,0.0007685465125449875
decision_tree,unweighted,789,42,prev_1pct,0.1279614588076318,0.6274784715955116,0.6282980323022735,0.0008195607067619237
decision_tree,unweighted,789,42,prev_50pct,0.0012925399879558,0.9940389774402377,0.9940527379609003,1.376052066259792e-05
decision_tree,unweighted,789,123,natural,1.0,0.177319950695545,0.177319950695545,0.0
decision_tree,unweighted,789,123,prev_0.2581pct,0.5,0.30122644331438825,0.3013185637022849,9.212038789663257e-05
decision_tree,unweighted,789,123,prev_1.2765pct,0.0999997901720798,0.6830828039865904,0.6812757798635591,0.0018070241230312423
decision_tree,unweighted,789,123,prev_10pct,0.0116328598916028,0.9487927762882841,0.9482707645699138,0.0005220117183702966
decision_tree,unweighted,789,123,prev_11.32pct,0.0100003986730482,0.9556601563858832,0.9554636128309363,0.00019654355494691522
decision_tree,unweighted,789,123,prev_1pct,0.1279614588076318,0.6274784715955116,0.6262115309153135,0.0012669406801981697
decision_tree,unweighted,789,123,prev_50pct,0.0012925399879558,0.9940389774402377,0.9941221171513185,8.313971108075968e-05
decision_tree,unweighted,789,456,natural,1.0,0.17719514341017067,0.1771951434101706,8.326672684688674e-17
decision_tree,unweighted,789,456,prev_0.2581pct,0.5,0.3010463378176383,0.30120543533035976,0.00015909751272147332
decision_tree,unweighted,789,456,prev_1.2765pct,0.0999997901720798,0.6828975112088362,0.6815375583916322,0.0013599528172040243
decision_tree,unweighted,789,456,prev_10pct,0.0116328598916028,0.948751181327677,0.9478913118242305,0.0008598695034465198
decision_tree,unweighted,789,456,prev_11.32pct,0.0100003986730482,0.9556238788059688,0.9549380126092104,0.0006858661967583668
decision_tree,unweighted,789,456,prev_1pct,0.1279614588076318,0.6272784076304897,0.6268925541212959,0.0003858535091938453
decision_tree,unweighted,789,456,prev_50pct,0.0012925399879558,0.9940339042736893,0.9936997914473945,0.0003341128262948079
decision_tree,unweighted,789,789,natural,1.0,0.17719514341017067,0.1771951434101706,8.326672684688674e-17
decision_tree,unweighted,789,789,prev_0.2581pct,0.5,0.3010463378176383,0.3005255158644013,0.000520821953236994
decision_tree,unweighted,789,789,prev_1.2765pct,0.0999997901720798,0.6828975112088362,0.6822787642009516,0.000618747007884668
decision_tree,unweighted,789,789,prev_10pct,0.0116328598916028,0.948751181327677,0.9481928671175343,0.0005583142101427407
decision_tree,unweighted,789,789,prev_11.32pct,0.0100003986730482,0.9556238788059688,0.9553279228715935,0.00029595593437525824
decision_tree,unweighted,789,789,prev_1pct,0.1279614588076318,0.6272784076304897,0.6267478128472379,0.0005305947832517921
decision_tree,unweighted,789,789,prev_50pct,0.0012925399879558,0.9940339042736893,0.9938945819572311,0.00013932231645819027
decision_tree,weighted,42,42,natural,1.0,0.03646283851220973,0.0364628385122097,2.7755575615628914e-17
decision_tree,weighted,42,42,prev_0.2581pct,0.5,0.07036014636964756,0.07039243935074446,3.2292981096901374e-05
decision_tree,weighted,42,42,prev_1.2765pct,0.0999997901720798,0.2745357618265041,0.27438569485017295,0.0001500669763311313
decision_tree,weighted,42,42,prev_10pct,0.0116328598916028,0.7648765942393084,0.7636239473626155,0.0012526468766929089
decision_tree,weighted,42,42,prev_11.32pct,0.0100003986730482,0.7909750632281513,0.7892097351890586,0.001765328039092684
decision_tree,weighted,42,42,prev_1pct,0.1279614588076318,0.22823729440894222,0.22803503768654082,0.00020225672240140047
decision_tree,weighted,42,42,prev_50pct,0.0012925399879558,0.9669724702162678,0.9666814385398826,0.00029103167638511174
decision_tree,weighted,42,123,natural,1.0,0.03647982958327786,0.0364798295832778,6.245004513516506e-17
decision_tree,weighted,42,123,prev_0.2581pct,0.5,0.07039177906229929,0.07038144425385644,1.0334808442855059e-05
decision_tree,weighted,42,123,prev_1.2765pct,0.0999997901720798,0.27463207079840785,0.2750945482851404,0.00046247748673255984
decision_tree,weighted,42,123,prev_10pct,0.0116328598916028,0.7649635375322847,0.7655112860947547,0.000547748562469974
decision_tree,weighted,42,123,prev_11.32pct,0.0100003986730482,0.791054992206682,0.7914536281436372,0.00039863593695521615
decision_tree,weighted,42,123,prev_1pct,0.1279614588076318,0.22832247329079702,0.228657973948003,0.00033550065720597266
decision_tree,weighted,42,123,prev_50pct,0.0012925399879558,0.9669879084148466,0.9664678522432162,0.0005200561716304231
decision_tree,weighted,42,456,natural,1.0,0.03647497337593184,0.0364749733759318,4.163336342344337e-17
decision_tree,weighted,42,456,prev_0.2581pct,0.5,0.07038273824813768,0.07042593749373145,4.319924559377519e-05
decision_tree,weighted,42,456,prev_1.2765pct,0.0999997901720798,0.27460454705491655,0.2748252321701327,0.00022068511521616818
decision_tree,weighted,42,456,prev_10pct,0.0116328598916028,0.7649386945745982,0.7655433498874713,0.0006046553128731258
decision_tree,weighted,42,456,prev_11.32pct,0.0100003986730482,0.79103215370737,0.7917477638419566,0.0007156101345865418
decision_tree,weighted,42,456,prev_1pct,0.1279614588076318,0.22829812998054475,0.22828288993097012,1.5240049574621883e-05
decision_tree,weighted,42,456,prev_50pct,0.0012925399879558,0.9669834974506655,0.9669877231535635,4.2257028980419165e-06
decision_tree,weighted,42,789,natural,1.0,0.03647982958327786,0.0364798295832778,6.245004513516506e-17
decision_tree,weighted,42,789,prev_0.2581pct,0.5,0.07039177906229929,0.07039726988525874,5.490822959447472e-06
decision_tree,weighted,42,789,prev_1.2765pct,0.0999997901720798,0.27463207079840785,0.27458319123062513,4.887956778271141e-05
decision_tree,weighted,42,789,prev_10pct,0.0116328598916028,0.7649635375322847,0.7627029457529964,0.00226059177928839
decision_tree,weighted,42,789,prev_11.32pct,0.0100003986730482,0.791054992206682,0.7889579585077199,0.002097033698962081
decision_tree,weighted,42,789,prev_1pct,0.1279614588076318,0.22832247329079702,0.2283250374135987,2.5641228016681783e-06
decision_tree,weighted,42,789,prev_50pct,0.0012925399879558,0.9669879084148466,0.9662926221144762,0.0006952863003704124
decision_tree,weighted,123,42,natural,1.0,0.024682010902483342,0.0246820109024833,4.163336342344337e-17
decision_tree,weighted,123,42,prev_0.2581pct,0.5,0.04817496675040638,0.04819255162608803,1.7584875681646295e-05
decision_tree,weighted,123,42,prev_1.2765pct,0.0999997901720798,0.20195796425042584,0.20198546721493038,2.750296450454437e-05
decision_tree,weighted,123,42,prev_10pct,0.0116328598916028,0.6850833589473708,0.685003805882504,7.95530648668441e-05
decision_tree,weighted,123,42,prev_11.32pct,0.0100003986730482,0.7167589792367562,0.7166841813608794,7.479787587683084e-05
decision_tree,weighted,123,42,prev_1pct,0.1279614588076318,0.16511349296796907,0.16495549658237174,0.00015799638559732543
decision_tree,weighted,123,42,prev_50pct,0.0012925399879558,0.9514067537657762,0.9518240801375195,0.00041732637174329845
