learner,reference,reference_R_train,R_train,split_seed,model_seed,exact_seed_match,matched_by_determinism,same_test_observations,reference_pr_auc,pr_auc,delta_pr_auc,reference_ner,ner,delta_ner
decision_tree,unweighted,1.0,773.7010836478753,123,42,True,False,True,0.7660834404692739,0.7453351246651442,-0.020748315804129724,0.1831245141844384,0.1211643209336306,-0.0619601932508078
decision_tree,unweighted,1.0,773.7010836478753,123,456,True,False,True,0.7674547839989712,0.7453480598658605,-0.022106724133110656,0.1831234650863708,0.121154879051023,-0.061968586035347814
decision_tree,unweighted,1.0,773.7010836478753,123,789,True,False,True,0.7674627863245576,0.7453451821187052,-0.022117604205852404,0.1831171704979658,0.121156977247158,-0.0619601932508078
decision_tree,unweighted,1.0,773.7010836478753,42,123,True,False,True,0.7297426212657876,0.7113401041369343,-0.018402517128853324,0.1526775218578796,0.1407589012479995,-0.01191862060988011
decision_tree,unweighted,1.0,773.7010836478753,42,42,True,False,True,0.7297426212657876,0.7113265927524011,-0.01841602851338653,0.1526775218578796,0.1407735886209447,-0.011903933236934922
decision_tree,unweighted,1.0,773.7010836478753,42,456,True,False,True,0.7297814974740391,0.7113362374685769,-0.018445260005462205,0.1526775218578796,0.1407630976402696,-0.01191442421761002
decision_tree,unweighted,1.0,773.7010836478753,42,789,True,False,True,0.7297426212657876,0.7113401041369343,-0.018402517128853324,0.1526775218578796,0.1407589012479995,-0.01191862060988011
decision_tree,unweighted,1.0,773.7010836478753,456,123,True,False,True,0.7511873139577037,0.7426824929247786,-0.008504821032925047,0.193050464282648,0.130981501162444,-0.06206896312020399
decision_tree,unweighted,1.0,773.7010836478753,456,42,True,False,True,0.7511850498051984,0.7427057464175726,-0.008479303387625814,0.1930515133807155,0.130981501162444,-0.06207001221827149
decision_tree,unweighted,1.0,773.7010836478753,456,456,True,False,True,0.7507019534840034,0.7427057464175726,-0.007996207066430783,0.1930515133807155,0.130981501162444,-0.06207001221827149
decision_tree,unweighted,1.0,773.7010836478753,456,789,True,False,True,0.7511850498051984,0.7430874199284132,-0.008097629876785195,0.1930515133807155,0.1309804520643765,-0.062071061316338993
decision_tree,unweighted,1.0,773.7010836478753,789,123,True,False,True,0.7571897155189382,0.744724060794993,-0.01246565472394523,0.1875312563012945,0.1171285376197415,-0.070402718681553
decision_tree,unweighted,1.0,773.7010836478753,789,42,True,False,True,0.7571897155189382,0.7447227431604648,-0.012466972358473383,0.1875312563012945,0.1171295867178091,-0.0704016695834854
decision_tree,unweighted,1.0,773.7010836478753,789,456,True,False,True,0.7571744114532092,0.744724060794993,-0.012450350658216203,0.1875354526935645,0.1171285376197415,-0.070406915073823
decision_tree,unweighted,1.0,773.7010836478753,789,789,True,False,True,0.7572455594467772,0.7447227431604648,-0.012522816286312355,0.1875354526935645,0.1171295867178091,-0.0704058659757554
decision_tree,unweighted,1.0,2000.0,123,123,True,False,True,0.7674547839989712,0.6882876603914104,-0.07916712360756073,0.1831234650863708,0.13134816662130458,-0.05177529846506623
decision_tree,unweighted,1.0,2000.0,123,42,True,False,True,0.7660834404692739,0.6882876603914104,-0.07779578007786347,0.1831245141844384,0.13134816662130458,-0.05177634756313382
decision_tree,unweighted,1.0,2000.0,123,456,True,False,True,0.7674547839989712,0.6882904033293749,-0.0791643806695963,0.1831234650863708,0.13134606842516955,-0.051777396661201264
