cell_id,learner,csl_variant,split_seed,model_seed,R_level,R_eval,threshold_B,threshold_C,threshold_gap,rules_agree,test_ner_B,test_ner_C,delta_ner_test
decision_tree__weighted__split789__model789,decision_tree,weighted,789,789,val_class_ratio,773.6688311688312,0.456003189086914,0.456003189086914,0.0,True,0.1171316272380102,0.1171316272380102,0.0
decision_tree__weighted__split789__model789,decision_tree,weighted,789,789,R_x1,773.7010836478753,0.456003189086914,0.456003189086914,0.0,True,0.1171295867178091,0.1171295867178091,0.0
logistic_regression__unweighted__split42__model42,logistic_regression,unweighted,42,42,val_class_ratio,773.6688311688312,0.002015677280724,0.002015677280724,0.0,True,0.2498893223524974,0.2498893223524974,0.0
logistic_regression__unweighted__split42__model42,logistic_regression,unweighted,42,42,R_x1,773.7010836478753,0.002015677280724,0.002015677280724,0.0,True,0.2498868231012079,0.2498868231012079,0.0
logistic_regression__unweighted__split123__model42,logistic_regression,unweighted,123,42,val_class_ratio,773.6688311688312,0.0011921977857127,0.0011921977857127,0.0,True,0.2162770671772308,0.2162770671772308,0.0
logistic_regression__unweighted__split123__model42,logistic_regression,unweighted,123,42,R_x1,773.7010836478753,0.0011921977857127,0.0011921977857127,0.0,True,0.2162729915161711,0.2162729915161711,0.0
logistic_regression__unweighted__split456__model42,logistic_regression,unweighted,456,42,val_class_ratio,773.6688311688312,0.0015174308791756,0.0015174308791756,0.0,True,0.2260838316075631,0.2260838316075631,0.0
logistic_regression__unweighted__split456__model42,logistic_regression,unweighted,456,42,R_x1,773.7010836478753,0.0015174308791756,0.0015174308791756,0.0,True,0.2260806329105404,0.2260806329105404,0.0
logistic_regression__unweighted__split789__model42,logistic_regression,unweighted,789,42,val_class_ratio,773.6688311688312,0.0014876696513965,0.0014876696513965,0.0,True,0.2223684526057684,0.2223684526057684,0.0
logistic_regression__unweighted__split789__model42,logistic_regression,unweighted,789,42,R_x1,773.7010836478753,0.0014876696513965,0.0014876696513965,0.0,True,0.2223651380998104,0.2223651380998104,0.0
logistic_regression__weighted__split42__model42,logistic_regression,weighted,42,42,val_class_ratio,773.6688311688312,0.5718259811401367,0.5718259811401367,0.0,True,0.2130087452100545,0.2130087452100545,0.0
logistic_regression__weighted__split42__model42,logistic_regression,weighted,42,42,R_x1,773.7010836478753,0.5718259811401367,0.5718259811401367,0.0,True,0.2130063622487797,0.2130063622487797,0.0
logistic_regression__weighted__split123__model42,logistic_regression,weighted,123,42,val_class_ratio,773.6688311688312,0.5396656394004822,0.5396656394004822,0.0,True,0.1958863149943346,0.1958863149943346,0.0
logistic_regression__weighted__split123__model42,logistic_regression,weighted,123,42,R_x1,773.7010836478753,0.5396656394004822,0.5396656394004822,0.0,True,0.1958833600296367,0.1958833600296367,0.0
logistic_regression__weighted__split456__model42,logistic_regression,weighted,456,42,val_class_ratio,773.6688311688312,0.5317200422286987,0.5317200422286987,0.0,True,0.1884118541033435,0.1884118541033435,0.0
logistic_regression__weighted__split456__model42,logistic_regression,weighted,456,42,R_x1,773.7010836478753,0.5317200422286987,0.5317200422286987,0.0,True,0.1884088385226394,0.1884088385226394,0.0
logistic_regression__weighted__split789__model42,logistic_regression,weighted,789,42,val_class_ratio,773.6688311688312,0.5317416191101074,0.5317416191101074,0.0,True,0.1854410183379087,0.1854410183379087,0.0
logistic_regression__weighted__split789__model42,logistic_regression,weighted,789,42,R_x1,773.7010836478753,0.5317416191101074,0.5317416191101074,0.0,True,0.1854378897472769,0.1854378897472769,0.0
random_forest__unweighted__split42__model42,random_forest,unweighted,42,42,val_class_ratio,773.6688311688312,0.0025640910025686,0.0025640910025686,0.0,True,0.1323554922982091,0.1323554922982091,0.0
random_forest__unweighted__split42__model42,random_forest,unweighted,42,42,R_x1,773.7010836478753,0.0025640910025686,0.0025640910025686,0.0,True,0.1323545766291466,0.1323545766291466,0.0
random_forest__unweighted__split42__model123,random_forest,unweighted,42,123,val_class_ratio,773.6688311688312,0.0023039204534143,0.0023039204534143,0.0,True,0.1250450381587861,0.1250450381587861,0.0
random_forest__unweighted__split42__model123,random_forest,unweighted,42,123,R_x1,773.7010836478753,0.0023039204534143,0.0023039204534143,0.0,True,0.1250439196928833,0.1250439196928833,0.0
random_forest__unweighted__split42__model456,random_forest,unweighted,42,456,val_class_ratio,773.6688311688312,0.0024752086028456,0.0024752086028456,0.0,True,0.1267785814839824,0.1267785814839824,0.0
random_forest__unweighted__split42__model456,random_forest,unweighted,42,456,R_x1,773.7010836478753,0.0024752086028456,0.0024752086028456,0.0,True,0.1267775599337143,0.1267775599337143,0.0
random_forest__unweighted__split42__model789,random_forest,unweighted,42,789,val_class_ratio,773.6688311688312,0.0021883791778236,0.0021883791778236,0.0,True,0.1249352189000306,0.1249352189000306,0.0
