experiment_id,cell_id,learner,csl_variant,config,level,feature_set,split,split_strategy,split_seed,model_seed,deterministic_in_model_seed,R_train,R_eval,threshold_rule,threshold_selected_on,train_prevalence,val_prevalence,test_prevalence,train_n_positive,train_n_negative,val_n_positive,val_n_negative,test_n_positive,test_n_negative,n_train,fit_seconds,git_sha,git_dirty,python_version,sklearn_version,xgboost_version,timestamp_utc,pr_auc,roc_auc,brier,threshold,tp,fp,fn,tn,precision,recall,f1,mcc,n_flagged,alert_rate,R,ner,total_risk,recall_at_100,precision_at_100,recall_at_500,precision_at_500,recall_at_1000,precision_at_1000,recall_at_5000,precision_at_5000
E3_multiseed_multisplit,decision_tree__instance_weighted__split456__model456,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,456,456,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,36.34920979999879,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T18:44:07+00:00,0.7412179526584879,0.9806391437473038,0.02188759528474015,0.46225664019584656,1100,30624,132,922538,0.03467406380027739,0.8928571428571429,0.06675567423230974,0.1724001429026018,31724,0.03323994073726365,773.7010836478753,0.13927043636239947,132752.54304151953,0.08035714285714286,0.99,0.4025974025974026,0.992,0.6785714285714286,0.836,0.8214285714285714,0.2024
E3_multiseed_multisplit,decision_tree__instance_weighted__split456__model789,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,456,789,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,38.593704900002194,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T18:44:49+00:00,0.7407662360148295,0.9806383360290315,0.021889413401387513,0.46225664019584656,1100,30626,132,922536,0.0346718779549896,0.8928571428571429,0.06675162327811153,0.1723944753637579,31726,0.033242036307856083,773.7010836478753,0.1392725345585345,132754.54304151953,0.08035714285714286,0.99,0.4025974025974026,0.992,0.6785714285714286,0.836,0.8214285714285714,0.2024
E3_multiseed_multisplit,decision_tree__instance_weighted__split789__model123,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,789,123,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,41.018277399998624,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T19:57:22+00:00,0.7438996558400253,0.9822683962337033,0.0220730834302707,0.4547639489173889,1128,33188,104,919974,0.03287096398181606,0.9155844155844156,0.06346348599077303,0.16985893259403906,34316,0.03595580022506428,773.7010836478753,0.11923305108023208,113652.91269937901,0.08116883116883117,1.0,0.4025974025974026,0.992,0.6712662337662337,0.827,0.8352272727272727,0.2058
E3_multiseed_multisplit,decision_tree__instance_weighted__split789__model42,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,789,42,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,41.95369120000032,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T19:56:38+00:00,0.7438939831627351,0.9822678175889317,0.022075913119851333,0.4547639489173889,1128,33191,104,919971,0.032868090562079316,0.9155844155844156,0.06345813057297967,0.16985117825413704,34319,0.03595894358095294,773.7010836478753,0.11923619837443462,113655.91269937901,0.08035714285714286,0.99,0.4025974025974026,0.992,0.6704545454545454,0.826,0.8368506493506493,0.2062
E3_multiseed_multisplit,decision_tree__instance_weighted__split789__model456,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,789,456,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,40.71339900000021,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T19:58:06+00:00,0.7438992766236028,0.9822683911242572,0.02207317271535264,0.4547639489173889,1128,33188,104,919974,0.03287096398181606,0.9155844155844156,0.06346348599077303,0.16985893259403906,34316,0.03595580022506428,773.7010836478753,0.11923305108023208,113652.91269937901,0.08116883116883117,1.0,0.4025974025974026,0.992,0.6704545454545454,0.826,0.836038961038961,0.206
E3_multiseed_multisplit,decision_tree__instance_weighted__split789__model789,decision_tree,instance_weighted,F,algorithm,no_origin_balance,test,stratified,789,789,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,46.687447899999825,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T19:58:56+00:00,0.7438939831627351,0.9822678175889317,0.022075913119851333,0.4547639489173889,1128,33191,104,919971,0.032868090562079316,0.9155844155844156,0.06345813057297967,0.16985117825413704,34319,0.03595894358095294,773.7010836478753,0.11923619837443462,113655.91269937901,0.08035714285714286,0.99,0.4025974025974026,0.992,0.6704545454545454,0.826,0.8368506493506493,0.2062
E3_multiseed_multisplit,decision_tree__rus__split123__model123,decision_tree,rus,G,data,no_origin_balance,test,stratified,123,123,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,11498,0.030387999999220483,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:32:44+00:00,0.29456830928311145,0.9831191309325403,0.03999349026567283,0.4776119291782379,1132,53416,100,899746,0.020752364889638483,0.9188311688311688,0.04058802438149874,0.13345058152694306,54548,0.0571545923381748,773.7010836478753,0.13720745354314778,130786.1083647875,0.03409090909090909,0.42,0.16152597402597402,0.398,0.32386363636363635,0.399,0.7824675324675324,0.1928
E3_multiseed_multisplit,decision_tree__rus__split123__model42,decision_tree,rus,G,data,no_origin_balance,test,stratified,123,42,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,11498,0.0370175999996718,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:32:41+00:00,0.18160591653878735,0.9803269940594446,0.04680433884837122,0.4693877696990967,1148,68323,84,884839,0.016524880885549365,0.9318181818181818,0.03247386956706222,0.11887820517589961,69471,0.07279069231365662,773.7010836478753,0.13985934544856288,133313.8910264215,0.04220779220779221,0.52,0.1038961038961039,0.256,0.19805194805194806,0.244,0.739448051948052,0.1822
E3_multiseed_multisplit,decision_tree__rus__split123__model456,decision_tree,rus,G,data,no_origin_balance,test,stratified,123,456,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,11498,0.02932929999951739,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:32:47+00:00,0.22242513110121753,0.9830615904794207,0.042991840786707286,0.5078125,1131,49609,101,903553,0.02229010642491131,0.9180194805194806,0.04352343569614408,0.13858512018388636,50740,0.0531646259301714,773.7010836478753,0.1340252255118111,127752.80944843538,0.030032467532467532,0.37,0.125,0.308,0.2297077922077922,0.283,0.7597402597402597,0.1872
E3_multiseed_multisplit,decision_tree__rus__split123__model789,decision_tree,rus,G,data,no_origin_balance,test,stratified,123,789,False,773.7010836478753,773.7010836478753,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,11498,0.032025200001953635,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-27T17:32:50+00:00,0.21045151840705006,0.9832346393291043,0.042299875337288274,0.5205479264259338,1126,41518,106,911644,0.026404652471625552,0.913961038961039,0.05132646549366396,0.151266295226326,42644,0.04468175617197929,773.7010836478753,0.12959541460599858,123530.31486667476,0.032467532467532464,0.4,0.1461038961038961,0.36,0.2621753246753247,0.323,0.7613636363636364,0.1876
