cell_id,learner,R_train,r_train_parameter,r_train_in_estimator,r_train_reached_estimator,convergence_warnings
xgboost__weighted__R5000__split123__model456,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split123__model789,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split42__model123,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split42__model42,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split42__model456,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split42__model789,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split456__model123,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split456__model42,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split456__model456,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split456__model789,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split789__model123,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split789__model42,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split789__model456,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R5000__split789__model789,xgboost,5000.0,scale_pos_weight,5000.0,True,0
xgboost__weighted__R50__split123__model123,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split123__model42,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split123__model456,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split123__model789,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split42__model123,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split42__model42,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split42__model456,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split42__model789,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split456__model123,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split456__model42,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split456__model456,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split456__model789,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split789__model123,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split789__model42,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split789__model456,xgboost,50.0,scale_pos_weight,50.0,True,0
xgboost__weighted__R50__split789__model789,xgboost,50.0,scale_pos_weight,50.0,True,0
