experiment_id,cell_id,learner,csl_variant,csl_mechanism,config,level,feature_set,split,split_strategy,split_seed,model_seed,deterministic_in_model_seed,R_train,R_eval,is_default_R_train,r_train_parameter,r_train_reached_estimator,threshold_rule,threshold_selected_on,train_prevalence,val_prevalence,test_prevalence,train_n_positive,train_n_negative,val_n_positive,val_n_negative,test_n_positive,test_n_negative,n_train,fit_seconds,git_sha,git_dirty,python_version,sklearn_version,xgboost_version,timestamp_utc,pr_auc,roc_auc,brier,threshold,tp,fp,fn,tn,precision,recall,f1,mcc,n_flagged,alert_rate,R,ner,total_risk,recall_at_100,precision_at_100,recall_at_500,precision_at_500,recall_at_1000,precision_at_1000,recall_at_5000,precision_at_5000,source
E2_training_cost_sweep,decision_tree__weighted__R10__split123__model789,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,123,789,False,10.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,51.61621670000022,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T10:45:01+00:00,0.7855850361014509,0.9781424631500616,0.0006272794204932424,0.04950318485498428,1094,19494,138,933668,0.05313775014571595,0.887987012987013,0.1002749770852429,0.21440768710610597,20588,0.021571803678564618,773.7010836478753,0.13246410474110085,126264.74954340678,0.08116883116883117,1.0,0.4025974025974026,0.992,0.7329545454545454,0.903,0.8198051948051948,0.202,E2
E2_training_cost_sweep,decision_tree__weighted__R10__split42__model123,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,42,123,False,10.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,64.52481799999077,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T08:56:01+00:00,0.7407694154252512,0.972205308063221,0.000692755781480092,0.035353533923625946,1070,21797,162,931365,0.046792320811649975,0.8685064935064936,0.0888003651603801,0.19855054748837156,22867,0.023959706368648588,773.7010836478753,0.15436069707110456,147136.57555095578,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6988636363636364,0.861,0.7816558441558441,0.1926,E2
E2_training_cost_sweep,decision_tree__weighted__R10__split42__model42,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,42,42,False,10.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,62.47731139999814,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T08:54:54+00:00,0.7407429205462306,0.97220529614118,0.0006927558095683772,0.035353533923625946,1070,21797,162,931365,0.046792320811649975,0.8685064935064936,0.0888003651603801,0.19855054748837156,22867,0.023959706368648588,773.7010836478753,0.15436069707110456,147136.57555095578,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6988636363636364,0.861,0.7816558441558441,0.1926,E2
E2_training_cost_sweep,decision_tree__weighted__R10__split42__model456,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,42,456,False,10.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,64.17451480000454,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T08:57:08+00:00,0.7407694154252512,0.972205308063221,0.000692755781480092,0.035353533923625946,1070,21797,162,931365,0.046792320811649975,0.8685064935064936,0.0888003651603801,0.19855054748837156,22867,0.023959706368648588,773.7010836478753,0.15436069707110456,147136.57555095578,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6988636363636364,0.861,0.7816558441558441,0.1926,E2
E2_training_cost_sweep,decision_tree__weighted__R10__split42__model789,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,42,789,False,10.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,61.777832699997816,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T08:58:12+00:00,0.7407429205462306,0.97220529614118,0.0006927558095683772,0.035353533923625946,1070,21797,162,931365,0.046792320811649975,0.8685064935064936,0.0888003651603801,0.19855054748837156,22867,0.023959706368648588,773.7010836478753,0.15436069707110456,147136.57555095578,0.08116883116883117,1.0,0.4050324675324675,0.998,0.6988636363636364,0.861,0.7816558441558441,0.1926,E2
E2_training_cost_sweep,decision_tree__weighted__R10__split456__model123,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,456,123,False,10.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,94.38055489999533,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T14:41:32+00:00,0.7598423113589786,0.9767248396635373,0.0006532251343357931,0.039436064660549164,1088,22025,144,931137,0.047073075758231296,0.8831168831168831,0.08938180324501951,0.2008738824917242,23113,0.024217461551518556,773.7010836478753,0.1399895018201081,133437.95604529403,0.08116883116883117,1.0,0.4042207792207792,0.996,0.7159090909090909,0.882,0.8092532467532467,0.1994,E2
E2_training_cost_sweep,decision_tree__weighted__R10__split456__model42,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,456,42,False,10.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,95.18254779999552,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T14:39:53+00:00,0.7598656414552162,0.9767248498824295,0.0006532251212975732,0.039436064660549164,1088,22025,144,931137,0.047073075758231296,0.8831168831168831,0.08938180324501951,0.2008738824917242,23113,0.024217461551518556,773.7010836478753,0.1399895018201081,133437.95604529403,0.08116883116883117,1.0,0.4050324675324675,0.998,0.7159090909090909,0.882,0.8092532467532467,0.1994,E2
E2_training_cost_sweep,decision_tree__weighted__R10__split456__model456,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,456,456,False,10.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,88.89479619999474,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T14:43:08+00:00,0.7594152395632916,0.976724067711388,0.0006544553732628377,0.039436064660549164,1088,22024,144,931138,0.04707511249567324,0.8831168831168831,0.0893854748603352,0.20087836531082903,23112,0.024216413766222335,773.7010836478753,0.1399884527220406,133436.95604529403,0.08116883116883117,1.0,0.4042207792207792,0.996,0.7159090909090909,0.882,0.8084415584415584,0.1992,E2
E2_training_cost_sweep,decision_tree__weighted__R10__split456__model789,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,456,789,False,10.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,102.94303390001005,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T14:44:57+00:00,0.7594385696595292,0.9767240779302802,0.0006544553602246178,0.039436064660549164,1088,22024,144,931138,0.04707511249567324,0.8831168831168831,0.0893854748603352,0.20087836531082903,23112,0.024216413766222335,773.7010836478753,0.1399884527220406,133436.95604529403,0.08116883116883117,1.0,0.4042207792207792,0.996,0.7159090909090909,0.882,0.8084415584415584,0.1992,E2
E2_training_cost_sweep,decision_tree__weighted__R10__split789__model123,decision_tree,weighted,class_weighting,E,algorithm+decision,no_origin_balance,test,stratified,789,123,False,10.0,773.7010836478753,False,class_weight[1],True,ner_optimal,val,0.001290797995614565,0.0012908741900602688,0.0012908714849422776,5749,4448085,1232,953160,1232,953162,4453834,62.62117430000217,b2e6f6243676544cb68b25aac83ba18d5eb139e5,True,3.14.4,1.8.0,3.4.0,2026-08-28T16:54:23+00:00,0.7766654765197472,0.977754549743755,0.0006516250544902581,0.019003665074706078,1104,21001,128,932161,0.04994345170775843,0.8961038961038961,0.09461370356086901,0.20864829663389595,22105,0.02316129397292942,773.7010836478753,0.12592821241196098,120034.73870692801,0.08116883116883117,1.0,0.4017857142857143,0.99,0.7232142857142857,0.891,0.8222402597402597,0.2026,E2
