R_decision,R_train,learner,variant,ner,recall,n_flagged,threshold,training_cost_ratio_varied,sweep_layer
773.7010836478753,773.7010836478753,decision_tree,weighted,0.1407735886209447,0.8896103896103896,30058,0.4773277640342712,False,decision
773.7010836478753,773.7010836478753,decision_tree,instance_weighted,0.1426887114589267,0.8936688311688312,35757,0.3630135953426361,False,decision
773.7010836478753,773.7010836478753,decision_tree,rus,0.1460747781079285,0.8952922077922078,40534,0.5492957830429077,False,decision
773.7010836478753,773.7010836478753,random_forest,unweighted,0.1323545766291466,0.8896103896103896,22033,0.0025640910025686,False,decision
773.7010836478753,773.7010836478753,random_forest,weighted,0.1468106177661884,0.8936688311688312,39686,0.1929068118333816,False,decision
773.7010836478753,773.7010836478753,random_forest,instance_weighted,0.1429351525529559,0.887987012987013,30569,0.1492042690515518,False,decision
773.7010836478753,773.7010836478753,random_forest,rus,0.1399105687187269,0.9123376623376624,50927,0.4421108663082123,False,decision
773.7010836478753,773.7010836478753,xgboost,unweighted,0.1313758764525216,0.8871753246753247,18776,0.0019162173848599,False,decision
773.7010836478753,773.7010836478753,xgboost,weighted,0.1422510550296293,0.8741883116883117,16747,0.4471830129623413,False,decision
773.7010836478753,773.7010836478753,xgboost,instance_weighted,0.14639668004804,0.8676948051948052,14501,0.379707396030426,False,decision
773.7010836478753,773.7010836478753,xgboost,rus,0.135494008280446,0.885551948051948,21152,0.7540422081947327,False,decision
1000.0,773.7010836478753,logistic_regression,unweighted,0.2271469155844155,0.827922077922078,68865,0.0016911260318011,False,decision
1000.0,773.7010836478753,logistic_regression,weighted,0.2000706168831169,0.8441558441558441,55527,0.5718259811401367,False,decision
1000.0,773.7010836478753,logistic_regression,instance_weighted,0.212038961038961,0.8465909090909091,73275,0.4424445331096649,False,decision
1000.0,773.7010836478753,logistic_regression,rus,0.1988547077922078,0.8482142857142857,59034,0.5665059685707092,False,decision
1000.0,773.7010836478753,decision_tree,unweighted,0.1475162337662337,0.8701298701298701,22812,0.0039267013780772,False,decision
1000.0,773.7010836478753,decision_tree,weighted,0.1274943181818182,0.906655844155844,43190,0.4591658413410187,False,decision
1000.0,773.7010836478753,decision_tree,instance_weighted,0.1344610389610389,0.8936688311688312,35757,0.3630135953426361,False,decision
1000.0,773.7010836478753,decision_tree,rus,0.1325381493506493,0.9196428571428572,65420,0.4268292784690857,False,decision
1000.0,773.7010836478753,random_forest,unweighted,0.1161371753246753,0.922077922077922,48217,0.0008934243232943,False,decision
1000.0,773.7010836478753,random_forest,weighted,0.1381672077922077,0.8993506493506493,47330,0.1788288652896881,False,decision
1000.0,773.7010836478753,random_forest,instance_weighted,0.1359375,0.887987012987013,30569,0.1492042690515518,False,decision
1000.0,773.7010836478753,random_forest,rus,0.1280868506493506,0.9123376623376624,50927,0.4421108663082123,False,decision
1000.0,773.7010836478753,xgboost,unweighted,0.1171201298701298,0.9196428571428572,46425,0.0008026054129004,False,decision
1000.0,773.7010836478753,xgboost,weighted,0.1336793831168831,0.890422077922078,30790,0.3119533658027649,False,decision
1000.0,773.7010836478753,xgboost,instance_weighted,0.1362865259740259,0.8831168831168831,24993,0.2647092044353485,False,decision
1000.0,773.7010836478753,xgboost,rus,0.1244188311688311,0.9172077922077922,52414,0.4502962231636047,False,decision
2000.0,773.7010836478753,logistic_regression,unweighted,0.1634683441558441,0.93262987012987,237935,0.000338193407515,False,decision
2000.0,773.7010836478753,logistic_regression,weighted,0.1470409902597402,0.906655844155844,133426,0.4134901762008667,False,decision
2000.0,773.7010836478753,logistic_regression,instance_weighted,0.1648303571428571,0.8969155844155844,153247,0.2696006298065185,False,decision
2000.0,773.7010836478753,logistic_regression,rus,0.1473380681818182,0.9050324675324676,130156,0.4184539914131164,False,decision
2000.0,773.7010836478753,decision_tree,unweighted,0.1386931818181818,0.8701298701298701,22812,0.0039267013780772,False,decision
2000.0,773.7010836478753,decision_tree,weighted,0.0978165584415584,0.9642857142857144,154208,0.1637566238641739,False,decision
2000.0,773.7010836478753,decision_tree,instance_weighted,0.1008766233766233,0.9496753246753248,125730,0.1736538410186767,False,decision
2000.0,773.7010836478753,decision_tree,rus,0.0993068181818181,0.952922077922078,129866,0.2992957830429077,False,decision
2000.0,773.7010836478753,random_forest,unweighted,0.0930332792207792,0.9318181818181818,62382,0.0007127117714844,False,decision
2000.0,773.7010836478753,random_forest,weighted,0.0988125,0.9496753246753248,120644,0.1069064736366272,False,decision
2000.0,773.7010836478753,random_forest,instance_weighted,0.1014525162337662,0.926948051948052,71121,0.0928745195269584,False,decision
2000.0,773.7010836478753,random_forest,rus,0.0870616883116883,0.948051948051948,87688,0.3440666794776916,False,decision
2000.0,773.7010836478753,xgboost,unweighted,0.0923344155844155,0.9366883116883116,72666,0.0005323556251823,False,decision
2000.0,773.7010836478753,xgboost,weighted,0.1002033279220779,0.950487012987013,126072,0.0851621776819229,False,decision
2000.0,773.7010836478753,xgboost,instance_weighted,0.1082617694805194,0.9172077922077922,63887,0.1236681118607521,False,decision
2000.0,773.7010836478753,xgboost,rus,0.0963985389610389,0.9301948051948052,66672,0.3663596510887146,False,decision
5000.0,773.7010836478753,logistic_regression,unweighted,0.0847316558441558,0.9829545454545454,418158,6.735217903042212e-05,False,decision
5000.0,773.7010836478753,logistic_regression,weighted,0.0602920454545454,0.9959415584415584,347626,0.0456671826541423,False,decision
5000.0,773.7010836478753,logistic_regression,instance_weighted,0.0732050324675324,0.984577922077922,357156,0.0154634034261107,False,decision
5000.0,773.7010836478753,logistic_regression,rus,0.0616465909090909,0.99512987012987,350969,0.0719884037971496,False,decision
5000.0,773.7010836478753,decision_tree,unweighted,0.057153409090909,0.9983766233766234,343295,0.0001944541727425,False,decision
5000.0,773.7010836478753,decision_tree,weighted,0.0605551948051948,0.9642857142857144,154208,0.1637566238641739,False,decision
5000.0,773.7010836478753,decision_tree,instance_weighted,0.0622415584415584,0.9918831168831168,334630,0.0727509632706642,False,decision
5000.0,773.7010836478753,decision_tree,rus,0.0564722402597402,1.0,349101,0.1000000014901161,False,decision
5000.0,773.7010836478753,random_forest,unweighted,0.054737987012987,0.969155844155844,148380,0.0003339081886224,False,decision
5000.0,773.7010836478753,random_forest,weighted,0.055490909090909,0.9983766233766234,333054,0.0340461730957031,False,decision
5000.0,773.7010836478753,random_forest,instance_weighted,0.0606402597402597,0.9715909090909092,199741,0.0508967451751232,False,decision
5000.0,773.7010836478753,random_forest,rus,0.0553745129870129,0.987012987012987,262323,0.1507093906402588,False,decision
5000.0,773.7010836478753,xgboost,unweighted,0.0543977272727272,0.989448051948052,271309,0.0001049524144036,False,decision
5000.0,773.7010836478753,xgboost,weighted,0.0516321428571428,0.9918831168831168,269276,0.021150117740035,False,decision
5000.0,773.7010836478753,xgboost,instance_weighted,0.056313474025974,0.9967532467532468,328119,0.005105345044285,False,decision
5000.0,773.7010836478753,xgboost,rus,0.0576237012987013,0.968344155844156,161155,0.1276741772890091,False,decision
